subject	term	payoff	d_nu	lo	hi	p_pos
1	perceptual	-1.0	0.34301859223479364	-0.46523157884148053	1.2352992816434272	0.8077
2	perceptual	-1.0	0.8359702017889215	-0.23825784185361132	2.23040256502368	0.9459
3	perceptual	-1.0	0.17347998118542526	-0.583858297820871	1.0007200200835946	0.6661
4	perceptual	-1.0	0.4464105158778588	-0.45802498515785145	1.5647100489505665	0.8349
5	perceptual	-1.0	0.4699222867253893	-0.3043988728681332	1.455498749221327	0.87445
6	perceptual	-1.0	0.1301766178564901	-1.1630823326750177	1.2281374396725881	0.6332
7	perceptual	-1.0	0.5694429779202924	-0.6737449894853684	1.8547773500190867	0.8685
9	perceptual	-1.0	0.5315585815918148	-0.1590923358911714	1.4262166885346412	0.93645
10	perceptual	-1.0	0.31592276969815863	-0.5101891587194307	1.2351753318565888	0.7821
11	perceptual	-1.0	0.5162267438435069	-0.21488875515438616	1.4071224186307112	0.9133
18	perceptual	-1.0	0.6398760588969306	-0.09332171568192527	1.5853461476180202	0.9528
19	perceptual	-1.0	0.03903501568400259	-0.8623393889069566	0.9952038583826107	0.5296
21	perceptual	-1.0	0.8653493296834628	-0.2668485445128597	2.456377089782635	0.9253
25	perceptual	-1.0	0.4420354855896877	-0.30728329366939516	1.4243977422254812	0.8773
26	perceptual	-1.0	0.4886305132165563	-0.35454749012157266	1.5396282688733534	0.86345
29	perceptual	-1.0	0.4810152887100985	-0.4587612282098759	1.6224211382460232	0.85455
30	perceptual	-1.0	0.2935205254641788	-0.5273086241929967	1.2930152076107986	0.74695
31	perceptual	-1.0	0.49672761674590477	-0.46190945022986735	1.5612288107722518	0.8724
34	perceptual	-1.0	0.39725880357873705	-0.43121438248195143	1.4249641575032925	0.83575
35	perceptual	-1.0	0.14256555190049994	-1.6339584709256691	1.6575130350327574	0.59485
36	perceptual	-1.0	0.5845845205711223	-0.22710415549227442	1.6098872249174745	0.9156
37	perceptual	-1.0	0.3769096171701359	-0.4457739892697227	1.3504808135969368	0.81885
45	perceptual	-1.0	0.1650548210273943	-0.7566631074567793	1.2643332320795981	0.6168
46	perceptual	-1.0	0.5464816239873502	-0.4931967277912019	1.7894781240947462	0.85955
47	perceptual	-1.0	0.45522847676316425	-1.1305740617079556	1.5451347748982172	0.8538
50	perceptual	-1.0	-0.06936231608459052	-0.8685792796283978	0.7418727608426502	0.42185
53	perceptual	-1.0	0.02033277245266803	-0.8408262655279226	0.9217101551188844	0.51335
56	perceptual	-1.0	0.29770740621521463	-0.9045005332645824	1.862581158203644	0.6493
59	perceptual	-1.0	0.23281555368005402	-0.5851735022055845	1.1944573120023145	0.70005
62	perceptual	-1.0	0.34443248429365686	-0.6389261212059016	1.5118213066932198	0.76065
63	perceptual	-1.0	0.5419699693781411	-0.3927721862974295	1.799908216159009	0.8517
67	perceptual	-1.0	0.3812186387322674	-0.3977113186538558	1.2907823819782571	0.8362
69	perceptual	-1.0	0.27279308790180024	-0.5226358391211534	1.1667695084481702	0.7497
72	perceptual	-1.0	0.1601019987016897	-0.6789245954450641	1.133638100838574	0.63675
74	perceptual	-1.0	0.6189579791868746	-0.5307523606266309	1.754272931476869	0.899
1	memory	7.0	-0.877673857718202	-2.9871401489825398	0.5130320233707455	0.12355
2	memory	7.0	-0.7225758651486583	-2.87019837873178	0.637564983875898	0.1253
3	memory	7.0	-1.459768897449555	-3.7555706713436314	0.04558637845390881	0.0301
4	memory	7.0	-0.8849197959536188	-3.100506985026733	0.4587958443097013	0.1168
5	memory	7.0	-0.8741529515675207	-3.0409058834032803	0.7020166023318711	0.15445
6	memory	7.0	-1.0563847060833167	-3.3014318276587376	0.5879375330837983	0.1117
7	memory	7.0	-0.7212098361399417	-2.7344430467211156	0.6107266423601145	0.1676
9	memory	7.0	-0.5265546897793207	-2.7040678596309475	0.9990488023131262	0.273
10	memory	7.0	-1.51614523384302	-3.9862064829547155	0.1708629561317216	0.03985
11	memory	7.0	-0.5655650272698249	-2.38314285981196	0.802398226255642	0.2291
18	memory	7.0	-0.3673211151873913	-2.2517865804769666	1.059680983848622	0.3156
19	memory	7.0	-1.4599273132484563	-3.741243893137762	0.23550637238591435	0.0485
21	memory	7.0	-0.4503598931098756	-2.366728845903993	0.5606313476095287	0.19755
25	memory	7.0	-0.4621218889074622	-2.2739889989025266	1.0413938326753926	0.2475
26	memory	7.0	-1.0622641103666586	-3.184562630951867	0.31199270057635536	0.07165
