label	subject	order	stake2	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	53	Risky first	0	ips	rnp	1.1006861916195614	0.9438304515861428	1.258089332390055
log-power-n1n2	56	Risky first	0	ips	rnp	0.9827877190451867	0.84628727812309	1.1486407136608827
log-power-n1n2	59	Risky first	0	ips	rnp	1.858468458746619	1.5432909469563494	2.4792053673258265
log-power-n1n2	62	Risky first	0	ips	rnp	0.6595271408200035	0.46810883715590906	0.8016086179819303
log-power-n1n2	63	Risky first	0	ips	rnp	0.963722639370262	0.8155203169658107	1.0928104988296599
log-power-n1n2	67	Risky first	0	ips	rnp	1.0652053395474341	0.907600551936145	1.1932204624235667
log-power-n1n2	69	Risky first	0	ips	rnp	0.6729126667248342	0.46290123168326164	0.8062630661651831
log-power-n1n2	72	Risky first	0	ips	rnp	0.9975491219488035	0.8982453531544718	1.1044030662801605
log-power-n1n2	74	Risky first	0	ips	rnp	1.4198537276732401	1.18583208518987	1.7917555502271554
log-power-n1n2	1	Risky first	0	ips	logfrac_star	0.7085303804074352	0.6305215117296384	0.796359994237955
log-power-n1n2	2	Risky first	0	ips	logfrac_star	0.7347884353325216	0.5091503578373472	0.9809545169394303
log-power-n1n2	3	Risky first	0	ips	logfrac_star	0.5347534860918861	0.42584950765236934	0.6083126349618135
log-power-n1n2	4	Risky first	0	ips	logfrac_star	0.8016422356400129	0.6638723516528152	0.9711015903531759
log-power-n1n2	5	Risky first	0	ips	logfrac_star	0.24674124950076792	-0.3339456742054975	0.5021112637632792
log-power-n1n2	6	Risky first	0	ips	logfrac_star	0.8635191374268084	0.7286240891213815	1.0493401469119257
log-power-n1n2	7	Risky first	0	ips	logfrac_star	0.3376934037915664	0.07185509467335172	0.5024400276469969
log-power-n1n2	9	Risky first	0	ips	logfrac_star	1.0318033192845135	0.8962241636648538	1.2716309096862524
log-power-n1n2	10	Risky first	0	ips	logfrac_star	0.15045111438231246	-0.40390291394438277	0.3798600344300776
log-power-n1n2	11	Risky first	0	ips	logfrac_star	0.38569702072519146	0.2604433771244601	0.47825503839569206
log-power-n1n2	18	Risky first	0	ips	logfrac_star	0.3623410611352107	0.2572619088147238	0.4627856340747723
log-power-n1n2	19	Risky first	0	ips	logfrac_star	0.8314637018538384	0.3310406399804628	1.0389160583983903
log-power-n1n2	21	Risky first	0	ips	logfrac_star	0.6040343649829272	0.4024430543874413	0.879336895787433
log-power-n1n2	25	Risky first	0	ips	logfrac_star	0.4658819086232632	0.37315679888942305	0.5528341709210581
log-power-n1n2	26	Risky first	0	ips	logfrac_star	0.4194467729362417	0.2960305894312512	0.5271369084025006
log-power-n1n2	29	Risky first	0	ips	logfrac_star	0.8919672046159886	0.7058592752431863	1.1686595285665782
log-power-n1n2	30	Risky first	0	ips	logfrac_star	0.5202110569216833	0.26847549642939755	0.6550396412663659
log-power-n1n2	31	Risky first	0	ips	logfrac_star	0.5484908405443829	0.4147731872517628	0.6316135652641424
log-power-n1n2	34	Risky first	0	ips	logfrac_star	0.7674622586568043	0.5825220734420811	0.9336034215211605
log-power-n1n2	35	Risky first	0	ips	logfrac_star	1.4992996836361763	1.352041746862101	1.7457157733624282
log-power-n1n2	36	Risky first	0	ips	logfrac_star	0.6073998641829534	0.4997887185464432	0.6999519176452571
log-power-n1n2	37	Risky first	0	ips	logfrac_star	0.5411019923239615	0.42440809482756575	0.6491581465990696
log-power-n1n2	45	Risky first	0	ips	logfrac_star	1.1086191831248464	0.9247145488702736	1.2684436247159254
log-power-n1n2	46	Risky first	0	ips	logfrac_star	0.7500399752532882	0.6296267532325934	0.8767858697546499
log-power-n1n2	47	Risky first	0	ips	logfrac_star	0.42792053324480217	0.2980304588072085	0.5202077319101603
log-power-n1n2	50	Risky first	0	ips	logfrac_star	0.9388050960342309	0.3233511259763461	1.1429361617846432
