curve	payoff	median	lo	hi	p_gt0
perceptual	23.440714911422702	0.0021001490935460055	-0.01592887540844726	0.02058104644191075	0.593
perceptual	25.16782724947516	0.0009601939077079514	-0.017443326716546897	0.019773192581227592	0.5435
perceptual	27.02219325873709	-0.00022292887938682508	-0.019125607391803363	0.01805595035200556	0.4885
perceptual	29.013188992218765	-0.0016504786337516494	-0.020672336945987427	0.0165490826015655	0.4345
perceptual	31.15088133070163	-0.002987751564405993	-0.02200298515529878	0.015070692535140106	0.373
perceptual	33.44607888294205	-0.004352308751949986	-0.023263390901634994	0.01357226428477284	0.3095
perceptual	35.91038663620328	-0.005645969021150717	-0.02468822323362974	0.012177988273268684	0.258
perceptual	38.55626463343955	-0.007232995672494694	-0.02668008621659635	0.010421010504663247	0.2085
perceptual	41.39709097381619	-0.009013582282612849	-0.029029471631983064	0.008561706004276961	0.1675
perceptual	44.44722945510958	-0.010584019424484923	-0.031990500565537774	0.007679030376199022	0.124
perceptual	47.722102200000165	-0.01229439204317976	-0.034652758708367926	0.006349386311223388	0.0985
perceptual	51.23826763347236	-0.014122976991204954	-0.03737777134502009	0.005143262658127002	0.0765
perceptual	55.01350420559077	-0.016222646076809434	-0.04007796837659385	0.0036949264277605014	0.057
perceptual	59.066900282972185	-0.01823456715407283	-0.04325630899964438	0.0026882957226598402	0.0425
perceptual	63.41895066346308	-0.020267267548837672	-0.04587979291589608	0.0012415158415469574	0.0325
perceptual	68.09166020202038	-0.02242132139991851	-0.049457290169082256	0.00021771602481928724	0.026
perceptual	73.10865507174927	-0.02485685483365644	-0.05436205328335498	-0.001144685002926736	0.018
perceptual	78.49530222265635	-0.027797412863165505	-0.061068513953827154	-0.0016673718098663014	0.0165
perceptual	84.27883764212612	-0.0310713438226701	-0.07139972280281852	-0.0021068003204990655	0.0195
perceptual	90.48850406563214	-0.03465841759269778	-0.08418925758579492	-0.0012287597392453332	0.0195
perceptual	97.15569883397542	-0.039583257049807696	-0.10219986848088687	0.0011047126661064852	0.0285
perceptual	104.31413264464813	-0.045776407305645694	-0.12794566196702933	0.002142774951739249	0.033
perceptual	112.0	-0.05388251644847385	-0.16016044843350197	0.005430886267884066	0.0405
