which	subject	payoff	n
risky	36	32.0	8
risky	36	34.0	8
risky	36	37.0	8
risky	36	39.0	8
risky	36	40.0	8
risky	36	43.0	8
risky	36	46.0	8
risky	36	47.0	8
risky	36	53.0	8
risky	36	55.0	8
risky	36	62.0	8
risky	36	64.0	8
risky	36	74.0	8
risky	36	87.0	8
risky	37	8.0	8
risky	37	9.0	8
risky	37	10.0	8
risky	37	12.0	16
risky	37	13.0	16
risky	37	15.0	16
risky	37	17.0	16
risky	37	19.0	16
risky	37	21.0	8
risky	37	22.0	8
risky	37	24.0	16
risky	37	27.0	16
risky	37	31.0	16
risky	37	34.0	8
risky	37	35.0	8
risky	37	38.0	8
risky	37	39.0	8
risky	37	43.0	8
risky	37	44.0	8
risky	37	49.0	8
risky	37	55.0	8
risky	37	62.0	8
risky	45	21.0	8
risky	45	22.0	8
risky	45	24.0	8
risky	45	25.0	8
risky	45	26.0	8
risky	45	28.0	8
risky	45	31.0	8
risky	45	32.0	8
risky	45	34.0	8
risky	45	36.0	8
risky	45	38.0	8
risky	45	40.0	7
risky	45	43.0	8
risky	45	45.0	8
risky	45	48.0	8
risky	45	50.0	8
risky	45	53.0	8
risky	45	56.0	8
risky	45	62.0	8
risky	45	65.0	8
risky	45	68.0	8
risky	45	72.0	7
risky	45	76.0	8
risky	45	80.0	7
risky	45	87.0	8
risky	45	91.0	8
risky	45	96.0	8
risky	45	101.0	7
risky	45	106.0	8
risky	45	112.0	7
risky	46	11.0	8
risky	46	13.0	8
risky	46	15.0	16
risky	46	18.0	15
risky	46	21.0	8
risky	46	22.0	16
risky	46	25.0	8
risky	46	26.0	16
risky	46	30.0	16
risky	46	31.0	8
risky	46	36.0	16
risky	46	37.0	8
risky	46	42.0	8
risky	46	44.0	16
risky	46	50.0	8
risky	46	52.0	16
risky	46	61.0	16
risky	46	72.0	16
risky	46	85.0	8
risky	46	101.0	8
risky	47	7.0	8
risky	47	8.0	8
risky	47	10.0	8
risky	47	11.0	8
risky	47	12.0	7
risky	47	14.0	16
risky	47	15.0	6
risky	47	17.0	16
risky	47	20.0	16
risky	47	22.0	16
risky	47	25.0	16
risky	47	28.0	15
risky	47	31.0	8
risky	47	32.0	8
risky	47	35.0	16
risky	47	40.0	8
risky	47	44.0	16
risky	47	50.0	8
risky	47	56.0	8
risky	47	64.0	8
risky	47	71.0	8
risky	47	89.0	8
risky	50	22.0	8
risky	50	23.0	8
risky	50	24.0	8
risky	50	25.0	8
risky	50	26.0	8
risky	50	28.0	8
risky	50	31.0	8
risky	50	33.0	8
risky	50	34.0	8
risky	50	36.0	8
risky	50	38.0	8
risky	50	40.0	8
risky	50	44.0	8
risky	50	46.0	8
risky	50	48.0	8
risky	50	51.0	8
risky	50	53.0	8
risky	50	56.0	8
risky	50	63.0	8
risky	50	66.0	8
risky	50	69.0	8
risky	50	73.0	8
risky	50	76.0	8
risky	50	80.0	8
risky	50	89.0	8
risky	50	93.0	8
risky	50	97.0	8
risky	50	102.0	8
risky	50	107.0	8
risky	50	112.0	8
risky	53	11.0	8
risky	53	13.0	8
risky	53	15.0	7
risky	53	16.0	8
risky	53	19.0	16
risky	53	22.0	16
risky	53	23.0	8
risky	53	26.0	8
risky	53	27.0	8
risky	53	28.0	8
risky	53	31.0	8
risky	53	32.0	8
risky	53	33.0	8
risky	53	38.0	16
risky	53	40.0	8
risky	53	44.0	8
risky	53	45.0	8
risky	53	46.0	8
risky	53	53.0	8
risky	53	55.0	8
risky	53	56.0	8
risky	53	64.0	8
risky	53	66.0	8
risky	53	77.0	8
risky	53	80.0	8
risky	53	93.0	8
risky	53	112.0	8
risky	56	11.0	8
risky	56	13.0	8
risky	56	14.0	8
risky	56	16.0	16
risky	56	18.0	16
risky	56	20.0	16
risky	56	23.0	16
risky	56	25.0	7
risky	56	26.0	8
risky	56	28.0	8
risky	56	29.0	8
risky	56	32.0	8
risky	56	33.0	8
risky	56	36.0	8
risky	56	37.0	8
risky	56	40.0	8
risky	56	41.0	8
risky	56	46.0	8
risky	56	47.0	8
risky	56	51.0	8
risky	56	52.0	8
risky	56	57.0	8
risky	56	58.0	8
risky	56	65.0	8
risky	56	72.0	8
risky	56	80.0	8
risky	59	10.0	8
risky	59	12.0	8
risky	59	14.0	8
risky	59	15.0	8
risky	59	18.0	15
risky	59	20.0	8
risky	59	22.0	16
risky	59	25.0	8
risky	59	26.0	8
risky	59	28.0	8
risky	59	29.0	8
risky	59	30.0	8
risky	59	32.0	8
risky	59	36.0	8
risky	59	37.0	8
risky	59	40.0	8
risky	59	41.0	8
risky	59	44.0	8
risky	59	45.0	8
risky	59	50.0	8
risky	59	53.0	8
risky	59	56.0	8
risky	59	61.0	8
risky	59	65.0	8
risky	59	75.0	8
risky	59	80.0	8
risky	59	91.0	8
risky	59	112.0	8
risky	62	11.0	7
risky	62	12.0	8
risky	62	13.0	8
risky	62	15.0	8
risky	62	16.0	8
risky	62	17.0	15
risky	62	18.0	8
risky	62	19.0	8
risky	62	21.0	8
risky	62	22.0	7
risky	62	24.0	15
risky	62	27.0	16
risky	62	30.0	7
risky	62	32.0	8
risky	62	34.0	8
risky	62	35.0	8
risky	62	37.0	8
risky	62	39.0	7
risky	62	43.0	8
risky	62	44.0	8
risky	62	48.0	7
risky	62	49.0	7
risky	62	54.0	8
risky	62	55.0	8
risky	62	61.0	8
risky	62	68.0	8
risky	62	75.0	8
risky	63	10.0	6
risky	63	11.0	8
risky	63	13.0	7
risky	63	15.0	16
risky	63	17.0	16
risky	63	19.0	15
risky	63	21.0	14
risky	63	23.0	8
risky	63	24.0	8
risky	63	27.0	16
risky	63	30.0	16
risky	63	34.0	15
risky	63	38.0	8
risky	63	39.0	7
risky	63	42.0	8
risky	63	43.0	8
risky	63	47.0	8
risky	63	49.0	7
risky	63	54.0	8
risky	63	55.0	8
risky	63	61.0	8
risky	63	69.0	8
risky	63	78.0	8
risky	67	13.0	8
risky	67	15.0	8
risky	67	17.0	8
risky	67	18.0	8
risky	67	20.0	8
risky	67	21.0	8
risky	67	24.0	8
risky	67	25.0	8
risky	67	26.0	8
risky	67	28.0	8
risky	67	29.0	8
risky	67	30.0	8
risky	67	34.0	8
risky	67	35.0	8
risky	67	37.0	8
risky	67	40.0	8
risky	67	41.0	8
risky	67	43.0	8
risky	67	48.0	7
risky	67	50.0	8
risky	67	52.0	8
risky	67	56.0	8
risky	67	58.0	8
risky	67	60.0	8
risky	67	68.0	8
risky	67	70.0	8
risky	67	80.0	8
risky	67	82.0	8
risky	67	96.0	8
risky	67	112.0	8
risky	69	9.0	8
risky	69	10.0	8
risky	69	12.0	8
risky	69	13.0	16
risky	69	14.0	8
risky	69	15.0	8
risky	69	16.0	8
risky	69	17.0	8
risky	69	19.0	16
risky	69	21.0	16
risky	69	23.0	8
risky	69	24.0	8
risky	69	26.0	8
risky	69	27.0	8
risky	69	29.0	8
risky	69	30.0	8
risky	69	33.0	8
risky	69	34.0	8
risky	69	38.0	16
risky	69	42.0	8
risky	69	43.0	8
risky	69	47.0	8
risky	69	48.0	8
risky	69	53.0	8
risky	69	59.0	8
risky	69	66.0	8
risky	72	8.0	8
risky	72	9.0	8
risky	72	11.0	8
risky	72	12.0	16
risky	72	13.0	8
risky	72	14.0	8
risky	72	15.0	16
risky	72	17.0	15
risky	72	19.0	16
risky	72	22.0	16
risky	72	24.0	8
risky	72	25.0	8
risky	72	27.0	8
risky	72	28.0	8
risky	72	31.0	16
risky	72	35.0	16
risky	72	39.0	16
risky	72	44.0	16
risky	72	49.0	8
risky	72	55.0	8
risky	72	62.0	8
risky	74	7.0	8
risky	74	10.0	8
risky	74	11.0	8
risky	74	13.0	8
risky	74	14.0	8
risky	74	15.0	8
risky	74	16.0	8
risky	74	18.0	8
risky	74	20.0	8
risky	74	21.0	8
risky	74	22.0	8
risky	74	24.0	8
risky	74	26.0	8
risky	74	27.0	8
risky	74	29.0	8
risky	74	30.0	8
risky	74	31.0	8
risky	74	33.0	8
risky	74	37.0	8
risky	74	39.0	8
risky	74	40.0	8
risky	74	43.0	8
risky	74	48.0	8
risky	74	52.0	8
risky	74	55.0	8
risky	74	61.0	8
risky	74	67.0	8
risky	74	79.0	8
risky	74	86.0	8
risky	74	111.0	8
safe	1	7.0	47
safe	1	10.0	48
safe	1	14.0	48
safe	1	20.0	48
safe	1	28.0	48
safe	2	7.0	45
safe	2	10.0	47
safe	2	14.0	45
safe	2	20.0	47
safe	2	28.0	48
safe	3	7.0	48
safe	3	10.0	48
safe	3	14.0	48
safe	3	20.0	48
safe	3	28.0	48
safe	4	7.0	47
safe	4	10.0	45
safe	4	14.0	48
safe	4	20.0	48
