order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	25.26086956521739	1.391304347826087	0.852203677722152	1.0073231197662382	0.22471622496359614	-0.006651965656501946	0.7775523873580039	0.7527375140308858	0.8776317436746435	0.8840587460442254
Risky first	26.173913043478258	1.391304347826087	0.8544499195743964	1.0080024450734433	0.22239451276432926	-0.00799986882265169	0.7716958618649569	0.7463401057240504	0.8772932631729632	0.8843137543248066
Risky first	27.08695652173913	1.391304347826087	0.8563716540407761	1.0087343150947456	0.22038523071635	-0.00949400266959688	0.7658961118083137	0.7400463610389642	0.8770712864560642	0.8847319034325255
Risky first	28.0	1.391304347826087	0.8579977956111118	1.0095149007308772	0.21866489946888004	-0.011122879569764543	0.7601650154433243	0.7338636810440335	0.876953597633484	0.8852977240605522
Risky first	7.0	1.5217391304347827	0.6221281939074839	1.0157277170732235	0.40835024218557703	-0.041230696904566155	0.8338749322392609	0.8447643302182196	0.9553509192441126	0.970376408207628
Risky first	7.913043478260869	1.5217391304347827	0.6395625199573366	1.0138628550043265	0.392704401939813	-0.03731825793218735	0.8467166736188244	0.8508744856459582	0.9480022810335433	0.9611442991992821
Risky first	8.826086956521738	1.5217391304347827	0.6606395132635997	1.0126117442763172	0.37878524384692513	-0.03433130519754202	0.8538719466453372	0.8531023893756474	0.939809557836651	0.9516621956485255
Risky first	9.73913043478261	1.5217391304347827	0.6818233256208378	1.0115710565446059	0.36617031875631617	-0.03148143153747407	0.8569660787920121	0.8525553912800009	0.9321574786114957	0.9429435255049865
Risky first	10.652173913043478	1.5217391304347827	0.7010381644111585	1.0105310566041275	0.35463157429858133	-0.02832333501888462	0.8572035530341777	0.8500273121448085	0.925677436754316	0.9354257982379393
Risky first	11.565217391304348	1.5217391304347827	0.717295957343876	1.0094078880444286	0.3441465316365848	-0.024725333349736922	0.8554534212555298	0.8460924151813831	0.9205545522954799	0.9292150264622648
Risky first	12.478260869565217	1.5217391304347827	0.7303617323403883	1.0081922562417025	0.3347246294376106	-0.020768370792675572	0.8523372414719322	0.8411687112732767	0.9167284425181021	0.9242385168232673
Risky first	13.391304347826086	1.5217391304347827	0.7405008654125516	1.006921228785201	0.326295922810276	-0.01664974506790573	0.8482895338009605	0.8355565461659162	0.914001921892109	0.9203279383036378
Risky first	14.304347826086957	1.5217391304347827	0.74830608691221	1.0056648756382458	0.31868864029520383	-0.01261759817105268	0.8436020722991782	0.8294655606557301	0.9120940491622944	0.9172609485211828
Risky first	15.217391304347826	1.5217391304347827	0.7545907977701816	1.004520231913661	0.31164765330961836	-0.008939904566042434	0.8384594493806692	0.8230357319937678	0.9106648588238005	0.9147812751813055
Risky first	16.130434782608695	1.5217391304347827	0.7602795981959936	1.0036007823915714	0.30486971164798476	-0.005882956039826359	0.8329710763486824	0.8163569730990788	0.9093474232064723	0.912621785395775
