model	var	subject	mean	lo	hi	p_gt0
flexible1_noisefix	n1_evidence_sd_spline3	3	0.5874661855695166	-0.06484728975134682	1.284037282240621	0.9623
flexible1_noisefix	n1_evidence_sd_spline3	4	0.43112260687622356	-0.30931195054032845	1.088550575941744	0.89065
flexible1_noisefix	n1_evidence_sd_spline3	5	0.46263581636025364	-0.25227126183133886	1.1168196473772254	0.9149
flexible1_noisefix	n1_evidence_sd_spline3	6	0.5600343524637977	-0.12517637574252852	1.2656385423468206	0.94965
flexible1_noisefix	n1_evidence_sd_spline3	7	0.5701594213981515	-0.10527255905213526	1.2536643053009373	0.95555
flexible1_noisefix	n1_evidence_sd_spline3	9	0.5016277207386607	-0.25895221059500995	1.2044947751894635	0.92035
flexible1_noisefix	n1_evidence_sd_spline3	10	0.2665566214173888	-0.6393130083216341	0.9552235014312483	0.7664
flexible1_noisefix	n1_evidence_sd_spline3	11	0.6771745659694621	0.03367683570848912	1.4258069115971357	0.97995
flexible1_noisefix	n1_evidence_sd_spline3	18	0.5197581222218843	-0.18413029340336445	1.2081000066403889	0.93395
flexible1_noisefix	n1_evidence_sd_spline3	19	0.4893241458996519	-0.2283902130994409	1.1556792276211265	0.92045
flexible1_noisefix	n1_evidence_sd_spline3	21	0.5420686395377252	-0.1460359892198685	1.240463310491148	0.9441
flexible1_noisefix	n1_evidence_sd_spline3	25	0.6933789202745384	0.039563455370560545	1.4612341204553352	0.9806
flexible1_noisefix	n1_evidence_sd_spline3	26	0.7346770799759832	0.07422682574862086	1.552562916610164	0.98495
flexible1_noisefix	n1_evidence_sd_spline3	29	0.4858420393710379	-0.2405256903013934	1.1650141820799902	0.9202
flexible1_noisefix	n1_evidence_sd_spline3	30	0.5316713626554974	-0.1331934179765359	1.1847006774295934	0.949
flexible1_noisefix	n1_evidence_sd_spline3	31	0.5649599302533763	-0.10225848274013041	1.2535075436838965	0.95455
flexible1_noisefix	n1_evidence_sd_spline3	34	0.5571257265882709	-0.1240894196597682	1.248272067684032	0.95015
flexible1_noisefix	n1_evidence_sd_spline3	35	0.5844934924100728	-0.01737375755995505	1.224282910346812	0.9719
flexible1_noisefix	n1_evidence_sd_spline3	36	0.5439549134641293	-0.1325583413693578	1.1989903001188928	0.9495
flexible1_noisefix	n1_evidence_sd_spline3	37	0.5926494979598452	-0.07411429032382963	1.2982701008919586	0.96065
flexible1_noisefix	n1_evidence_sd_spline3	45	0.7436432063492464	0.07590593203791633	1.5595292126951164	0.9847
flexible1_noisefix	n1_evidence_sd_spline3	46	0.4389827273556279	-0.2839932712287928	1.08880719293328	0.8999
flexible1_noisefix	n1_evidence_sd_spline3	47	0.49058189605000696	-0.2232295852922219	1.1726817685512063	0.92175
flexible1_noisefix	n1_evidence_sd_spline3	50	0.8994207351107656	0.17279695212696342	1.8820303511554082	0.99355
flexible1_noisefix	n1_evidence_sd_spline3	53	0.3901607687789258	-0.39070769370406855	1.0397864458849773	0.8668
flexible1_noisefix	n1_evidence_sd_spline3	56	0.645903080068836	-0.023495700877264148	1.4181152023303136	0.9715
flexible1_noisefix	n1_evidence_sd_spline3	59	0.7040215068200476	0.04933879679457758	1.4941527380291884	0.982
flexible1_noisefix	n1_evidence_sd_spline3	62	0.6739940344508486	0.03182500775541087	1.419330109206713	0.97985
flexible1_noisefix	n1_evidence_sd_spline3	63	0.5809513419740859	-0.0904657172185862	1.2751658373498056	0.95785
flexible1_noisefix	n1_evidence_sd_spline3	67	0.565585154368179	-0.10946935737790853	1.2605744905416236	0.9505
flexible1_noisefix	n1_evidence_sd_spline3	69	0.46260166408314524	-0.2914750614847936	1.1429474342828518	0.90395
flexible1_noisefix	n1_evidence_sd_spline3	72	0.6306474331940671	-0.020011927694510625	1.3475632307229204	0.97155
flexible1_noisefix	n1_evidence_sd_spline3	74	0.2633300062832995	-0.6323871173249173	0.946494654983846	0.76385
flexible1_noisefix	n1_evidence_sd_spline4	1	0.3981523063928048	-0.3817401763140867	1.2757985377850278	0.84385
flexible1_noisefix	n1_evidence_sd_spline4	2	0.28088831847940443	-0.5473932607468277	1.0848112015396552	0.7675
flexible1_noisefix	n1_evidence_sd_spline4	3	0.36523538529042643	-0.43869512407393213	1.2287303975016866	0.81975
flexible1_noisefix	n1_evidence_sd_spline4	4	0.2581919057290988	-0.6050531212234292	1.0492732495431012	0.7512
flexible1_noisefix	n1_evidence_sd_spline4	5	0.1919399485708602	-0.7021354910673625	0.9583561210318365	0.69995
flexible1_noisefix	n1_evidence_sd_spline4	6	0.21577718203423582	-0.6887990159587117	1.0138565449653598	0.717
flexible1_noisefix	n1_evidence_sd_spline4	7	0.2537709232606415	-0.5903780947213864	1.057567886955853	0.7483
