subject	order	stake2	stimulation_condition	slope	rnp	n_trials
36	Risky second	0	vertex	2.870538258816261	0.5099943195820716	30
36	Risky second	1	ips	8.408729675702952	0.6206738191478952	30
36	Risky second	1	vertex	2.2902969740289594	0.6178115147741212	30
37	Risky first	0	ips	2.5726091439280823	0.610731875565951	30
37	Risky first	0	vertex	3.1045461920908473	0.5749137354987492	30
37	Risky first	1	ips	2.7747854934830127	0.45381450811918855	30
37	Risky first	1	vertex	4.0031331609590834	0.5109692171369875	30
37	Risky second	0	ips	2.8217677123558635	0.6112417412048152	30
37	Risky second	0	vertex	3.459848827947009	0.6761039859329462	30
37	Risky second	1	ips	4.220181708595554	0.6012073172976058	30
37	Risky second	1	vertex	3.244194937248212	0.6452303545600401	30
45	Risky first	0	ips	3.9893253325219202	0.3051616443168207	30
45	Risky first	0	vertex	7.43498085609019	0.3589778376303061	29
45	Risky first	1	ips	8.736164874242924	0.2826756008333317	29
45	Risky second	0	ips	10.205470354435713	0.3063127977091847	30
45	Risky second	1	vertex	2.3045079184138006	0.494473504401371	30
46	Risky first	0	ips	1.8983006464318546	0.4974908752429441	31
46	Risky first	0	vertex	1.8668322563084632	0.44112696761915376	32
46	Risky first	1	ips	1.7053747393688954	0.6252400718688906	28
46	Risky first	1	vertex	4.1135116438993755	0.43015715859298476	28
46	Risky second	0	ips	2.3983858375084863	0.460739322284673	32
46	Risky second	0	vertex	2.679135519877114	0.4216643842398242	32
46	Risky second	1	ips	1.524129200334035	0.519534071721689	28
46	Risky second	1	vertex	3.2550785877372514	0.4713936967243668	28
47	Risky first	0	ips	3.160542477098615	0.6881222723708417	34
47	Risky first	0	vertex	1.899049953572918	0.7495163493789313	32
47	Risky first	1	ips	5.785255059724099	0.6792874345467265	26
47	Risky first	1	vertex	1.552541524071679	0.7324553223024389	26
47	Risky second	0	ips	3.777250663720123	0.5592673182336633	33
47	Risky second	0	vertex	2.438712146628787	0.6758488573704994	33
47	Risky second	1	ips	3.2595945752983138	0.7023093876502473	26
47	Risky second	1	vertex	1.6259058978186205	0.7803627612286362	26
50	Risky first	0	ips	8.991686712571315	0.31135080271769994	30
50	Risky first	1	ips	5.116901354343168	0.23778367808006695	30
50	Risky first	1	vertex	5.120999958470676	0.2827050003159599	30
50	Risky second	0	ips	6.382161134165042	0.31105961068542015	30
50	Risky second	0	vertex	6.073899862034436	0.3790169739800084	30
50	Risky second	1	ips	3.167239716077054	0.27015020890437247	30
50	Risky second	1	vertex	5.01241603581923	0.26246101742624506	30
53	Risky first	0	ips	3.254731955496828	0.47733391356279287	32
53	Risky first	0	vertex	3.0988274665151323	0.5185648260117143	32
53	Risky first	1	ips	1.0398664946840235	0.43708166350718974	28
53	Risky first	1	vertex	2.1915734642453515	0.2667251861596462	28
53	Risky second	0	ips	1.965562861662994	0.508255765913091	32
53	Risky second	0	vertex	3.309439082312465	0.5212657887864448	31
53	Risky second	1	ips	0.7137539300019629	1.6793000221438408	28
53	Risky second	1	vertex	0.5826908183808472	1.8098991779730715	28
56	Risky first	0	ips	2.067906875102825	0.44222478008989247	32
